特征,SHAP_均值
subGrade,0.25264239200844574
issueYear,0.15265258688199934
loanAmnt_log,0.1491708825359578
grade,0.13969575392002237
annualIncome_log,0.1375796650045693
homeOwnership,0.12532298377639778
interestRate,0.08118730086231149
ficoScore,0.07869043721788392
dti_interest,0.06073187355916663
fico_interest,0.057010166333900644
n14,0.05338222671297192
n2,0.044622761195242555
verificationStatus,0.039455200931379594
title,0.0276704411110612
n3,0.024300657950036147
purpose,0.02415780782832158
revolUtil,0.02381271546580464
n9,0.020020128958259577
dti,0.019358499294263004
dti_sq,0.01914831485084185
